director,movie,new_director
K. Bhushan,Maya Ya Maut,No
Anant Mahadevan,Anamika,No
Deepak Tijori,Tom Dick and Harry,No
Neeraj Pathak,Gumnaam - The Mystery,Yes
Pawan Kaul,Bhram,No
Pooja Bhatt,Holiday,No
Vikram Bhatt,Life Mein Kabhi Kabhiee,No
Raju Mavani,Anuradha - Aur Uski Kahaani,No
Arshad Khan,Pehli Nazar Ka Pyaar,No
Faiz Anwar,Saathi - The Companion,Yes
Prabhakar Shukla,Kahaani Gudiya Ki...,Yes
Sushen Bhatnagar,Monica,No
Vijay Ghatge,Shobhayatra,Yes
Shammi Chhabra,Lucky Kabootar,Yes
Hema Malini,Tell Me O Kkhuda,Yes
Aaditya Datt,Aashiq Banaye Aapne,Yes
Aaditya Datt,Dil Diya Hai,No
Anant Mahadevan,Aksar,No
Anthony D'Souza,Azhar,No
Anurag Basu,Gangster - A Love Story,No
Ashwini Chaudhary,Good Boy Bad Boy,No
Dibakar Banerjee,Shanghai,No
Kunal Deshmukh,Jannat,Yes
Kunal Deshmukh,Tum Mile,No
Kunal Deshmukh,Jannat 2,No
Kunal Deshmukh,Raja Natwarlal,No
Manish Sharma,Jawani Diwani - A Youtful Joyride,Yes
Mohit Suri,Zeher,Yes
Mohit Suri,Awarapan,No
Mohit Suri,Raaz - The Mystery Continues,No
Mohit Suri,Crook,No
Mohit Suri,Murder 2,No
Mohit Suri,Hamari Adhuri Kahani,No
Raj Kumar Gupta,Ghanchakkar,No
Raksha Mistry,The Killer,Yes
Raksha Mistry,The Train,No
Renzil D'Silva,Ungli,No
Shamin Desai,Rush,Yes
Vikram Bhatt,Raaz 3,No
Vikram Bhatt,Mr. X,No
Vikram Bhatt,Raaz Reboot,No
Vivek Agnihotri,Chocolate,Yes
Aziz Naser,Siyaah,Yes
Sharique Minhaz,Chand Bujh Gaya,Yes
David Dhawan,Shaadi No. 1,No
Meghna Gulzar,Just Married,No
Mudassar Aziz,Dulha Mil Gaya,Yes
Puneet Sira,Jai Veeru,No
Ram Gopal Verma,Darling,No
Suparn Verma,Ek Khiladi Ek Haseena,Yes
Suparn Verma,Acid Factory,No
Abhishek Kapoor,Rock On!!,No
Bejoy Nambiar,Wazir,No
Rakesh Omprakash Mehra,Bhaag Milkha Bhaag,No
Ranjit Tiwari,Lucknow Central,Yes
Saket Chaudhary,Shaadi Ke Side Effects,No
Shujaat Saudagar,Rock On 2,Yes
Vijay Lalwani,Karthik Calling Karthik,Yes
Zoya Akhtar,Luck By Chance,Yes
Mrityunjay Devvrat,Children Of War,Yes
Sanjay Puran Singh Chauhan,Lahore,Yes
Praveen Morchhale,Barefoot To Goa,Yes
A. Rajesh,Main Hoon Durga,Yes
Shashanka Ghosh,Khoobsurat,No
Jaganath S.R.,Aaj Ka Fashion Trend,Yes
Natty Kumar,Tum Ho Yaara,Yes
Pammi Somal,Na Jaane Kabse,Yes
P. Som Shekar,Muskurake Dekh Zara,Yes
Savin Tuscano,Vroom,Yes
Mahesh Kapoor,Hota Hai Dil Pyaar Mein Paagal,No
Varun Khanna,Bad Luck Govind,No
Shravan Jain,Bhooton Ki Raasleela,Yes
Manish Shrivastava,Go,No
Harish Bhonsle,Shoot At Sight,No
Aarif Sheikh,Let's Dance,Yes
Charles Sleichter,Will To Live,Yes
Prabhu Deva,Ramaiya Vastavaiya,No
Vaibhav Misra,Loveshhuda,Yes
Anees Bazmee,Sandwich,No
David Dhawan,Do Knot Disturb,No
Ganesh Acharya,Money Hai Toh Honey Hai,No
Harmesh Malhotra,Khullam Khulla Pyaar Karen,No
Jag Mundhra,Naughty @ 40,No
Janmendra Ahuja,Jahan Jaaeyega Humen Paaeyega,Yes
K.C. Bokadia,Deewana Main Deewana,No
Kirti Kumar,Ssukh,No
Rajnish Thakur,Loot,Yes
Rumi Jaffery,Life Partner,No
T.K. Rajiv Kumar,Chal Chala Chal,No
Ajay Panesekar,Yehi Hai Zindagi,No
Dharmesh Tiwari,Mahabharat Aur Barbareek,Yes
Indrajit Singh,Chanchal,Yes
Rahat Kazmi,Dekh Re Dekh,Yes
Ramesh Modi,Milta Hai Chance By Chance,No
Sisir Mishra,Aseema,Yes
Kuldeepak Bakshi,Meri Marzi,Yes
Manoj Tiwari,Hello Darling,Yes
Suresh Jain,Red Light,No
Suresh Jain,The Real Dream Girl,No
Puneet Issar,I Am Singh,No
Sudhir Pillai,The Dirty MMS,Yes
Syed Noor,Meri Shadi Karao,Yes
Gurmeet Ram Rahim Singh,MSG - The Warrior Lion Heart,Yes
Gurmeet Ram Rahim Singh,Hind Ka Napak Ko Jawab - MSG Lion Heart-2,No
Gurmeet Ram Rahim Singh,Jattu Engineer,No
Jeetu Arora,MSG - The Messenger Of God,Yes
Jeetu Arora,MSG 2 - The Messenger,Yes
Girja Shankar,Banana Brothers,Yes
Sharique Minhaj,Lateef - The King Of Crime,Yes
Swaroop Kanchi,Bengaloored,Yes
Ajit Pal Mangat,Victory,Yes
